NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call.412_0,12582912,15,1,16,2649196,46
_NDP_custom-call.413_0,12582912,11,1,15,1775929,38
_NDP_custom-call.414_0,12582912,15,1,16,2649224,46
_NDP_custom-call.415_0,12582912,15,1,16,2556391,46
_NDP_custom-call.416_0,6291456,30,1,26,2580403,79
_NDP_custom-call.417_0,1572864,23,1,23,569728,66
_NDP_custom-call.418_0,6291456,12,1,15,1028807,39
_NDP_custom-call.419_0,6291456,12,1,15,1126831,39
_NDP_custom-call.420_0,1572864,5,1,11,95876,23
_NDP_custom-call.421_0,12582912,11,1,15,1770780,38
_NDP_custom-call.422_0,12582912,15,1,16,2435290,46
_NDP_custom-call.423_0,6291456,30,1,26,2559479,79
_NDP_custom-call.424_0,1572864,5,1,11,96131,23
_NDP_custom-call.425_0,12582912,11,1,15,1899340,38
_NDP_custom-call.426_0,12582912,15,1,16,2602415,46
_NDP_custom-call.427_0,6291456,12,1,15,1027634,39
_NDP_custom-call.428_0,6291456,12,1,15,1033538,39
_NDP_custom-call.429_0,6291456,12,1,15,1066692,39
_NDP_custom-call.430_0,6291456,12,1,15,1132010,39
_NDP_custom-call.431_0,6291456,12,1,15,1029127,39
_NDP_custom-call.432_0,6291456,12,1,15,1028107,39
_NDP_custom-call.433_0,6291456,12,1,15,1032459,39
_NDP_custom-call.434_0,6291456,12,1,15,1058584,39
_NDP_custom-call.435_0,6291456,12,1,15,1070496,39
_NDP_custom-call.436_0,6291456,30,1,26,2464772,79
_NDP_custom-call.437_0,12582912,15,1,16,2654228,46
_NDP_custom-call.438_0,1572864,5,1,11,96143,23
_NDP_custom-call.439_0,12582912,15,1,16,2936570,46
_NDP_custom-call.440_0,12582912,11,1,15,1773051,38
_NDP_custom-call.441_0,1572864,2,1,1,194972,9
_NDP_custom-call.442_0,1572864,2,1,1,195078,9
_NDP_custom-call.443_0,1572864,2,1,1,195106,9
_NDP_custom-call.444_0,1572864,2,1,1,195134,9
_NDP_custom-call.445_0,1179648,2,1,1,64662,8
_NDP_custom-call.446_0,1179648,2,1,1,64686,8
_NDP_custom-call.447_0,1179648,2,1,1,64693,8
_NDP_custom-call.448_0,1572864,2,1,1,195250,9
_NDP_custom-call.449_0,1572864,13,1,17,381163,44
_NDP_custom-call.450_0,4718592,104,12,54,10833090,240
_NDP_custom-call.451_0,1572864,2,1,1,195023,9
_NDP_custom-call.452_0,1179648,2,1,1,64755,8
_NDP_custom-call.453_0,1572864,2,1,1,195040,9
_NDP_custom-call.454_0,1572864,2,1,1,194753,9
_NDP_custom-call.455_0,1179648,2,1,1,64738,8
_NDP_custom-call.456_0,1572864,2,1,1,195353,9
_NDP_custom-call.457_0,1572864,2,1,1,194891,9
_NDP_custom-call.458_0,1572864,2,1,1,195310,9
_NDP_custom-call.459_0,1572864,2,1,1,195317,9
_NDP_custom-call.460_0,1179648,2,1,1,62588,8
_NDP_custom-call.461_0,1179648,2,1,1,63129,8
_NDP_custom-call.462_0,1179648,2,1,1,62979,8
_NDP_custom-call.463_0,1179648,2,1,1,62602,8
